Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, fixed, X, Y 
16/2/2022,, 56, CONDUCTOR, GROENLANDIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MIÉRCOLES, MASCULINO, 5, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 569175, 6142720 
6/1/2022,, 37, CONDUCTOR, BYPASS RUTA 11 Y RUTA 3, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 13, SAN JOSE, SIN DATOS, AUTO, 1, 529460, 6200655 
6/1/2022,, 30, CONDUCTOR, DIECINUEVE DE ABRIL, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 13, MALDONADO, MALDONADO, MOTO, 1, 687060, 6134830 
16/2/2022,, 29, PASAJERO, SIN DATOS, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MIÉRCOLES, FEMENINO, 8, ROCHA, SIN DATOS, AUTO, 1, 823955, 6254410 
6/1/2022,, 32, CONDUCTOR, GENERAL APARICIO SARAVIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 15, MALDONADO, SAN RAFAEL - EL PLACER, MOTO, 1, 693060, 6134320 
1/1/2022,, 24, CONDUCTOR, VEINTICINCO DE MAYO, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 0, SAN JOSE, SAN JOSE DE MAYO, MOTO, 1, 526200, 6200935 
1/1/2022,, 70, CONDUCTOR, VEINTICINCO DE MAYO, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, SÁBADO, MASCULINO, 0, SAN JOSE, SAN JOSE DE MAYO, MOTO, 1, 526200, 6200935 
1/1/2022,, 18, PASAJERO, GENERAL RIVERA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 2, SORIANO, MERCEDES, MOTO, 1, 403295, 6320545 
1/1/2022,, 19, CONDUCTOR, GENERAL RIVERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 2, SORIANO, MERCEDES, MOTO, 1, 403295, 6320545 
1/1/2022,, 41, PASAJERO, AVENIDA DEL NAVIO, URBANA    , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 2, ROCHA, SIN DATOS, AUTO, 1, 759505, 6160995 
1/1/2022,, 16, PEATÓN, AVENIDA WILSON FERREIRA ALDUNATE, URBANA    , HERIDO LEVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 1, CANELONES, PASO CARRASCO, SIN DATOS, 1, 587820, 6142890 
1/1/2022,, 23, CONDUCTOR, TREINTA Y TRES ORIENTALES, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 2, PAYSANDU, PAYSANDU, MOTO, 1, 397760, 6423930 
1/1/2022,, 30, CONDUCTOR, CERRITO, URBANA    , HERIDO LEVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, NO USA CASCO, SÁBADO, MASCULINO, 3, PAYSANDU, PAYSANDU, MOTO, 1, 398900, 6425885 
1/1/2022,, 36, PEATÓN, SIN DATOS, SUBURBANA , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 4, CANELONES, SIN DATOS, SIN DATOS, 1, 602700, 6175985 
1/1/2022,, 31, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, DESPISTE, SIN DATOS, NO USA CASCO, SÁBADO, MASCULINO, 4, CANELONES, SIN DATOS, MOTO, 1, 602700, 6175985 
1/1/2022,, SIN DATOS, CONDUCTOR, SIN DATOS, RURAL     , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 5, ROCHA, SIN DATOS, AUTO, 1, 763160, 6169325 
1/1/2022,, 31, CONDUCTOR, RUTA 7 KM 197.000, SIN DATOS, FALLECIDO EN CENTRO DE ASISTENCIA, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 6, FLORIDA, SIN DATOS, AUTO, 1, 666050, 6291030 
1/1/2022,, 20, CONDUCTOR, DIECIOCHO DE JULIO, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, NO USA CASCO, SÁBADO, MASCULINO, 6, COLONIA, TARARIRAS, MOTO, 1, 443605, 6208300 
1/1/2022,, SIN DATOS, CONDUCTOR, WASHINGTON BELTRAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, SÁBADO, FEMENINO, 3, SALTO, SALTO, MOTO, 1, 409140, 6525155 
1/1/2022,, 36, CONDUCTOR, WASHINGTON BELTRAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 3, SALTO, SALTO, AUTO, 1, 409140, 6525155 
1/1/2022,, 46, CONDUCTOR, GONZALEZ MORENO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 6, COLONIA, COLONIA DEL SACRAMENTO, AUTO, 1, 423440, 6186970 
1/1/2022,, 58, CONDUCTOR, GONZALEZ MORENO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 6, COLONIA, COLONIA DEL SACRAMENTO, AUTO, 1, 423440, 6186970 
1/1/2022,, 21, CONDUCTOR, GENERAL JOSE G. ARTIGAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, SÁBADO, FEMENINO, 7, LAVALLEJA, JOSE PEDRO VARELA, MOTO, 1, 729095, 6295375 
1/1/2022,, 49, CONDUCTOR, GENERAL JOSE G. ARTIGAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 7, LAVALLEJA, JOSE PEDRO VARELA, AUTO, 1, 729095, 6295375 
1/1/2022,, 25, PASAJERO, AVENIDA ITALIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 7, RIVERA, RIVERA, AUTO, 1, 638155, 6579300 
1/1/2022,, 27, CONDUCTOR, AVENIDA ITALIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 7, RIVERA, RIVERA, MOTO, 1, 638155, 6579300 
1/1/2022,, 45, CONDUCTOR, AV. GRAL. FRUCTUOSO RIVERA, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 7, CERRO LARGO, HIPODROMO, MOTO, 1, 764645, 6415145 
1/1/2022,, 19, CONDUCTOR, SIN DATOS, RURAL     , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 8, TACUAREMBO, SIN DATOS, AUTO, 1, 576565, 6415160 
1/1/2022,, 20, PASAJERO, SIN DATOS, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 8, TACUAREMBO, SIN DATOS, AUTO, 1, 576565, 6415160 
1/1/2022,, 22, CONDUCTOR, CONTINUACION SARANDI, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 6, RIVERA, RIVERA, AUTO, 1, 638805, 6579280 
1/1/2022,, 29, CONDUCTOR, CAMINO CARMELO COLMAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 8, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 572280, 6148440 
1/1/2022,, 37, PASAJERO, CAMINO CARMELO COLMAN, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 8, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 572280, 6148440 
1/1/2022,, 45, CONDUCTOR, CAMINO CARMELO COLMAN, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 8, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 572280, 6148440 
1/1/2022,, 40, CONDUCTOR, JOSE BATLLE Y ORDOÑEZ, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 9, CANELONES, SAN RAMON, MOTO, 1, 595925, 6204605 
1/1/2022,, 78, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 12, COLONIA, SIN DATOS, AUTO, 1, 444860, 6206890 
1/1/2022,, 27, CONDUCTOR, PABLO MARTINEZ, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 13, ARTIGAS, ARTIGAS, MOTO, 1, 550810, 6637630 
1/1/2022,, 47, CONDUCTOR, PABLO MARTINEZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 13, ARTIGAS, ARTIGAS, AUTO, 1, 550810, 6637630 
1/1/2022,, 37, CONDUCTOR, CALLE D N 52 SUR, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 15, PAYSANDU, SIN DATOS, AUTO, 1, 397475, 6421590 
1/1/2022,, 55, CONDUCTOR, VIA_PUBLICA, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 17, PAYSANDU, SIN DATOS, AUTO, 1, 415365, 6495970 
1/1/2022,, 38, CONDUCTOR, SIN DATOS, RURAL     , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 17, ROCHA, SIN DATOS, AUTO, 1, 779585, 6182670 
1/1/2022,, 50, CONDUCTOR, SIN DATOS, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 17, ROCHA, SIN DATOS, AUTO, 1, 779585, 6182670 
1/1/2022,, 69, CONDUCTOR, BOULEVARD JOSE BATLLE Y ORDOÑEZ, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 16, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 571120, 6145960 
1/1/2022,, 19, CONDUCTOR, AV. GORLERO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 19, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 687730, 6129200 
1/1/2022,, 19, CONDUCTOR, GREGORIO SANABRIA, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 19, MALDONADO, MALDONADO, MOTO, 1, 687675, 6136370 
1/1/2022,, 29, PASAJERO, SIN DATOS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, SÁBADO, FEMENINO, 16, CANELONES, NEPTUNIA, AUTO, 1, 603800, 6150920 
1/1/2022,, 32, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 16, CANELONES, NEPTUNIA, AUTO, 1, 603800, 6150920 
1/1/2022,, 52, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 16, CANELONES, NEPTUNIA, AUTO, 1, 603800, 6150920 
1/1/2022,, 63, CONDUCTOR, CALLE 4 (TALAR), SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 20, CANELONES, PANDO, AUTO, 1, 593610, 6157860 
1/1/2022,, 7, PASAJERO, COSTANERA NORTE CESAR MAYO GUTIERREZ, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 17, SALTO, SALTO, AUTO, 1, 406830, 6528490 
1/1/2022,, SIN DATOS, CONDUCTOR, EL MESANA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 20, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 687570, 6128870 
1/1/2022,, 46, CONDUCTOR, EL MESANA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 20, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 687570, 6128870 
1/1/2022,, 50, CONDUCTOR, VIA_PUBLICA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 23, MALDONADO, MALDONADO, AUTO, 1, 686495, 6135635 
1/1/2022,, 27, CONDUCTOR, GENERAL JOSE G. ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 21, SORIANO, CARDONA, AUTO, 1, 466245, 6251970 
1/1/2022,, 24, CONDUCTOR, DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 22, LAVALLEJA, MINAS, AUTO, 1, 661115, 6194700 
1/1/2022,, 32, PASAJERO, DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 22, LAVALLEJA, MINAS, AUTO, 1, 661115, 6194700 
2/1/2022,, 19, PASAJERO, AVENIDA DOCTOR JUAN ANDRES CACHON, URBANA    , HERIDO GRAVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 0, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575895, 6135685 
2/1/2022,, 43, PASAJERO, AVENIDA DOCTOR JUAN ANDRES CACHON, URBANA    , HERIDO GRAVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 0, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575895, 6135685 
2/1/2022,, 45, CONDUCTOR, AVENIDA DOCTOR JUAN ANDRES CACHON, URBANA    , HERIDO LEVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 0, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575895, 6135685 
1/1/2022,, 31, CONDUCTOR, SIN DATOS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 23, MONTEVIDEO, SIN DATOS, AUTO, 1, 581650, 6149845 
1/1/2022,, 58, CONDUCTOR, SIN DATOS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 23, MONTEVIDEO, SIN DATOS, AUTO, 1, 581650, 6149845 
2/1/2022,, 22, CONDUCTOR, BOULEVARD GENERAL JOSE G. ARTIGAS, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 2, MALDONADO, MALDONADO, MOTO, 1, 687440, 6135890 
2/1/2022,, 22, CONDUCTOR, JOAQUIN LENZINA -ANSINA-, URBANA    , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 2, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 688750, 6130115 
2/1/2022,, 28, PASAJERO, BLAS MELLO, SUBURBANA , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 6, ARTIGAS, ARTIGAS, AUTO, 1, 549840, 6634510 
2/1/2022,, 29, CONDUCTOR, AVENIDA ANTONIO LUSSICH, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 6, MALDONADO, MALDONADO, MOTO, 1, 685885, 6136140 
2/1/2022,, 56, CONDUCTOR, SIN DATOS, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 7, SAN JOSE, SIN DATOS, AUTO, 1, 508145, 6203195 
1/1/2022,, 38, CONDUCTOR, BATALLA DE LAS PIEDRAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 23, RIO NEGRO, NUEVO BERLIN, AUTO, 1, 401825, 6350185 
2/1/2022,, 21, CONDUCTOR, RUTA 81 KM 57, RURAL     , HERIDO LEVE, DESPISTE, NO USA CINTURÓN, SIN DATOS, DOMINGO, MASCULINO, 7, CANELONES, SIN DATOS, AUTO, 1, 609610, 6187445 
2/1/2022,, 49, CONDUCTOR, AV. ENRIQUE TARIGO. KM 122.200 (PASANDO C.P. VILARO), URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 9, MALDONADO, PUNTA BALLENA, BICICLETA, 1, 679385, 6136360 
2/1/2022,, 20, CONDUCTOR, DIECINUEVE DE JUNIO DE 1764, URBANA    , HERIDO LEVE, ATROPELLO DE ANIMALES, SIN DATOS, USA CASCO, DOMINGO, FEMENINO, 9, SALTO, SALTO, MOTO, 1, 413925, 6526850 
2/1/2022,, SIN DATOS, PASAJERO, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 11, MALDONADO, SIN DATOS, AUTO, 1, 699840, 6149010 
2/1/2022,, 9, PASAJERO, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 11, MALDONADO, SIN DATOS, AUTO, 1, 699840, 6149010 
2/1/2022,, 30, PASAJERO, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 11, MALDONADO, SIN DATOS, AUTO, 1, 699840, 6149010 
2/1/2022,, 36, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 11, MALDONADO, SIN DATOS, AUTO, 1, 699840, 6149010 
2/1/2022,, 63, CONDUCTOR, SIN DATOS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 11, MALDONADO, SIN DATOS, OMNIBUS, 1, 699840, 6149010 
2/1/2022,, 51, CONDUCTOR, SANTA BERNARDITA, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 8, CANELONES, SHANGRILA, MOTO, 1, 592455, 6142810 
2/1/2022,, 61, CONDUCTOR, RUTA NACIONAL UNO, URBANA    , ILESO, CAÍDA, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 11, SAN JOSE, DELTA DEL TIGRE Y VILLAS, MOTO, 1, 553505, 6153370 
2/1/2022,, 44, PASAJERO, WASHINGTON BELTRAN, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, FEMENINO, 12, LAVALLEJA, MINAS, MOTO, 1, 661570, 6195220 
2/1/2022,, 29, CONDUCTOR, WASHINGTON BELTRAN, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 12, LAVALLEJA, MINAS, MOTO, 1, 661570, 6195220 
2/1/2022,, 34, CONDUCTOR, REPUBLICA ARGENTINA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, DOMINGO, MASCULINO, 8, RIO NEGRO, NUEVO BERLIN, AUTO, 1, 400775, 6350430 
2/1/2022,, 19, PASAJERO, FRANCISCO ACUÑA DE FIGUEROA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, FEMENINO, 13, FLORIDA, FLORIDA, MOTO, 1, 572260, 6227475 
2/1/2022,, 58, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 13, ROCHA, SIN DATOS, AUTO, 1, 734550, 6162890 
2/1/2022,, 36, CONDUCTOR, RUTA INTERBALNEARIA, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 14, MALDONADO, LAS FLORES - ESTACION, AUTO, 1, 653085, 6149260 
2/1/2022,, 75, CONDUCTOR, RUTA INTERBALNEARIA, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 14, MALDONADO, LAS FLORES - ESTACION, AUTO, 1, 653085, 6149260 
2/1/2022,, 40, CONDUCTOR, VIA_PUBLICA, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 14, ROCHA, ROCHA, AUTO, 1, 744465, 6181405 
2/1/2022,, 11, PEATÓN, CAMINO MALDONADO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 14, MONTEVIDEO, MONTEVIDEO, SIN DATOS, 1, 580790, 6144675 
2/1/2022,, 65, CONDUCTOR, SIN DATOS, RURAL     , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 12, TACUAREMBO, SIN DATOS, AUTO, 1, 648800, 6473915 
2/1/2022,, 5, PASAJERO, SIN DATOS, SUBURBANA , HERIDO GRAVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 16, FLORIDA, SIN DATOS, AUTO, 1, 569895, 6233275 
2/1/2022,, 20, PASAJERO, SIN DATOS, SUBURBANA , HERIDO GRAVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 16, FLORIDA, SIN DATOS, AUTO, 1, 569895, 6233275 
2/1/2022,, 25, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 16, FLORIDA, SIN DATOS, AUTO, 1, 569895, 6233275 
2/1/2022,, 26, CONDUCTOR, RAMBLA CLAUDIO WILLIMAN, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, FEMENINO, 16, MALDONADO, PUNTA DEL ESTE, MOTO, 1, 687980, 6130925 
2/1/2022,, 28, CONDUCTOR, RAMBLA CLAUDIO WILLIMAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 16, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 687980, 6130925 
2/1/2022,, 20, CONDUCTOR, AVENIDA AGRACIADA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 16, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 571910, 6142030 
